bio6,bio11,bio12,bio13,bio2,bio3,bio4,bio5,bio14,bio15,label,fold,decimalLongitude,decimalLatitude
-5.1025,1.7590417,668.0,157.0,10.7456455,30.237698,933.25494,30.43475,7.0,81.73373,1,0,113.02,34.42
-0.71750003,4.2975,1392.0,222.0,7.957417,25.361073,858.9902,30.659,37.0,48.204742,1,1,119.36,30.19
2.7285001,8.209792,1717.0,309.0,8.897666,28.484383,806.5799,33.9655,46.0,62.995415,1,2,116.52,27.21
1.2535,6.300375,1541.0,256.0,8.219563,26.11416,851.3235,32.729,43.0,55.38634,1,0,114.78,28.38
0.51925004,5.6229167,1257.0,206.0,7.943042,24.740826,900.5141,32.62425,28.0,55.897682,1,1,114.381419,30.561162
-1.55775,2.8510418,1418.0,210.0,7.4617915,26.190916,767.0873,26.93225,25.0,60.121998,1,1,108.936374,30.290996
3.097,7.67475,1661.0,298.0,7.265875,26.271378,761.35284,30.754,48.0,59.79791,1,2,110.585686,25.60168
0.84275,5.4730415,1321.0,305.0,7.3582916,28.159245,685.7828,26.97375,16.0,90.136566,1,3,103.39,29.49
1.7075,6.94325,1704.0,300.0,8.15802,26.396664,824.52264,32.613,45.0,58.27014,1,1,118.242051,28.676309
-3.72475,2.0460832,1120.0,195.0,9.118437,29.261635,815.1955,27.437,17.0,64.40919,1,2,111.155751,31.731334
-13.18775,-5.10575,522.0,178.0,11.93152,28.492334,1135.808,28.6885,3.0,130.93974,1,4,117.09,40.5
-10.911,-3.2135,511.0,173.0,11.864917,28.95524,1112.9858,30.06575,2.0,131.79718,1,1,116.17,40.21
-0.37175,4.495167,1086.0,174.0,7.4001875,23.427767,898.10034,31.2155,35.0,51.03103,1,4,119.823342,31.375019
2.58875,7.850708,1779.0,337.0,8.623334,30.032593,727.515,31.302,44.0,64.30265,1,4,118.22,27.52
1.127,5.8689165,1271.0,214.0,8.164833,26.976025,793.9495,31.394,19.0,64.38074,1,3,109.41,31.05
2.08825,7.71725,1699.0,336.0,9.086021,30.227793,757.25433,32.14675,41.0,64.98046,1,1,118.54,27.91
2.01625,6.855875,1523.0,231.0,8.034208,26.211256,827.06726,32.668,44.0,50.911503,1,2,114.619889,27.392869
3.92375,9.127916,1548.0,257.0,8.207541,29.051186,727.3901,32.17575,39.0,56.545715,1,0,114.358084,25.395202
-3.913,1.2101666,708.0,138.0,8.308875,28.587463,757.16486,25.15175,4.0,81.726944,1,0,105.6,33.32
0.087,4.498958,970.0,155.0,6.3146877,20.664429,888.25116,30.64525,32.0,54.56438,1,4,120.406916,31.237023
2.14375,7.4665833,1721.0,300.0,8.380208,27.611433,792.3523,32.49425,45.0,61.67387,1,2,116.325753,26.837264
-5.97975,0.68962497,770.0,156.0,10.368396,30.822544,862.8333,27.65925,8.0,73.13472,1,0,112.03,33.96
-0.48250002,4.711458,1250.0,202.0,8.335875,25.701038,896.0406,31.9515,32.0,49.200073,1,1,118.758817,30.940716
-0.142,4.6917086,1464.0,258.0,7.713521,24.847658,869.3273,30.90125,34.0,52.532475,1,3,117.927793,30.622513
-0.56775,4.20725,1579.0,275.0,7.48775,24.493185,854.86053,30.003,38.0,52.932434,1,3,118.141565,30.272939
0.39175,5.7770834,1675.0,290.0,8.406375,27.825775,781.53827,30.602499,36.0,51.936203,1,2,119.276247,28.59204
-0.6625,4.533083,1206.0,196.0,8.237958,25.634672,892.66846,31.4735,32.0,50.57539,1,1,119.417203,30.893783
0.125,5.249375,1551.0,265.0,8.025104,25.543015,863.2308,31.543,41.0,53.596157,1,0,118.431373,29.866159
0.629,5.3927083,1468.0,276.0,7.66075,24.609886,881.83417,31.75775,32.0,54.847492,1,3,117.490786,30.659926
-0.27275002,4.7839165,1326.0,222.0,8.142292,25.467344,887.1483,31.69875,33.0,50.16813,1,3,118.406439,30.690534
-1.41775,4.238167,1178.0,210.0,8.921458,27.230286,896.5945,31.34525,26.0,55.38101,1,2,115.879605,31.67832
0.35075,5.4937916,1604.0,276.0,8.086146,25.664194,864.9123,31.85825,43.0,55.071083,1,0,118.182474,29.786224
-3.1575,1.5745416,1163.0,191.0,7.9881043,27.17389,780.95557,26.23875,16.0,64.75315,1,0,108.629497,31.824099
-2.4525,2.7739582,1547.0,262.0,8.470958,27.171408,858.49,28.7235,32.0,55.823418,1,1,116.202468,30.918886
-5.317553,-0.42978716,698.0,178.0,7.449357,22.651762,968.91046,27.568882,11.0,95.63008,1,1,121.447946,37.463695
1.95175,6.0796666,1292.0,215.0,7.2743125,25.483667,772.1448,30.49675,23.0,60.81642,1,0,108.503873,28.563925
0.5445,5.8329167,1522.0,262.0,8.765541,27.267485,860.7167,32.690998,42.0,56.55284,1,3,114.412629,29.010101
1.015,6.169542,1428.0,227.0,7.9377913,25.14486,859.91956,32.58325,44.0,51.19161,1,3,113.653403,28.762976
1.8364999,7.2379165,1700.0,309.0,8.540209,27.054441,843.94006,33.40325,47.0,59.800804,1,2,117.281101,28.981283
0.16075,4.739875,1384.0,225.0,7.818208,26.409966,792.2988,29.764,25.0,61.92837,1,3,109.726617,30.601932
-0.4975,4.6104584,1212.0,211.0,8.281291,27.406067,804.7291,29.7195,20.0,64.22334,1,3,110.340757,31.042327
-0.49425,5.025375,1396.0,253.0,8.755479,26.911573,887.9246,32.04,31.0,60.299107,1,4,115.399242,30.78311
4.046,7.819458,1090.0,221.0,6.7114997,23.991278,758.4015,32.02075,14.0,80.20375,1,1,106.082997,30.791258
3.82775,7.5455003,1125.0,210.0,6.7281666,24.043766,752.5464,31.81075,14.0,74.79692,1,1,106.440107,30.537924
3.50475,8.469708,1474.0,245.0,7.6911664,26.287397,784.86664,32.76275,46.0,53.815304,1,4,111.945802,25.570976
1.70975,7.014042,1643.0,280.0,8.12627,26.063702,832.54736,32.88825,44.0,59.40107,1,2,115.83,27.42
-1.4395,4.281375,1119.0,185.0,9.114292,27.546442,909.5144,31.647501,26.0,50.571705,1,2,116.49,31.74
-5.8372498,1.2652917,677.0,136.0,11.371667,31.838694,911.8789,29.87925,7.0,73.67709,1,3,111.04,34.05
-0.0007499971,4.6677084,1221.0,199.0,7.549688,27.234789,744.37366,27.72,28.0,60.419247,1,3,108.3,26.64
-1.34,4.1135416,1181.0,220.0,8.511354,26.32364,893.9833,30.9935,24.0,58.82931,1,2,115.4,31.79
0.577,5.5635,1429.0,215.0,7.5532084,25.357187,808.0082,30.36425,40.0,47.448383,1,2,120.97,29.14
-5.16375,1.9881668,650.0,144.0,11.257021,31.415234,924.0306,30.66925,7.0,78.14592,1,0,112.1,34.49
